No.,DMU,Status,Size,Founding Year,Age,InputPA,2014/2015 FP,2014/2015 AP,2014/2015 ASP,2014/2015 RA,2015/2016 FP,2015/2016 AP,2015/2016 ASP,2015/2016 RA,2016/2017 FP,2016/2017 AP,2016/2017 ASP,2016/2017 RA,2017/2018 FP,2017/2018 AP,2017/2018 ASP,2017/2018 RA,2018/2019 Number of Full Professors,2018/2019 Number of Associate Professors,2018/2019 Number of Assistant Professors,2018/2019 Number of Research Assistants,InputAvgFP,InputAvgAP,InputAvgASSP,InputAvgRA,OutputHI,OutputTA,OutputGP,OutputP
1,Acıbadem University,Private,S,2007,12,20.6,136,83,89,26,171,91,104,29,183,100,112,27,208,115,125,47,235,106,133,48,187,99,113,35,26,87,29,2
2,Adnan Menderes University,Public,XL,1992,27,33.5,228,145,390,503,245,151,427,538,249,149,418,514,284,160,422,543,305,179,417,597,262,157,415,539,25,203,173,1
3,Akdeniz University,Public,XL,1982,37,86.2,371,223,513,733,396,249,489,746,401,239,482,641,441,239,532,672,484,272,528,779,419,244,509,714,39,411,218,7
4,Ankara University,Public,XL,1946,73,146,1234,310,343,1122,1233,312,333,1184,1211,303,290,1081,1202,284,295,1090,1205,285,294,1182,1217,299,311,1132,73,835,407,24
5,Atatürk University,Public,XL,1957,62,55.3,469,338,600,914,510,331,602,946,493,292,588,899,555,249,613,897,588,269,666,882,523,296,614,908,50,361,325,26
6,Atılım University,Private,M,1997,22,20.8,58,34,109,72,59,38,107,79,59,37,104,84,62,39,114,102,70,38,124,108,62,37,112,89,27,130,49,7
7,Bartın University,Public,L,2008,11,3.3,16,34,139,179,17,46,155,195,14,38,161,187,25,38,177,182,32,43,194,181,21,40,165,185,22,80,45,0
8,Bilkent University,Private,L,1984,35,320.6,97,77,185,2,103,85,186,1,103,79,187,8,11,71,175,9,108,67,178,6,84,76,182,5,50,974,51,12
9,Boğazıçı University,Public,L,1971,48,109.3,193,119,185,325,190,128,181,323,184,130,170,258,196,119,166,295,188,120,162,278,190,123,173,296,78,1.094,82,28
10,Bülent Ecevit University,Public,XL,1973,46,8.7,84,105,309,419,91,103,344,458,97,90,315,467,105,88,353,460,112,92,345,500,98,96,333,461,25,129,84,0
11,Canakkale University,Public,XL,1992,27,43.1,122,145,429,433,145,175,424,447,150,169,430,397,182,160,502,395,205,185,560,401,161,167,469,415,31,407,137,4
12,Celal Bayar University,Public,XL,1992,27,12.5,189,145,360,557,199,144,391,580,205,140,340,547,223,141,367,583,235,148,363,637,210,144,364,581,33,162,97,0
13,Cukurova Uni,Public,XL,1971,48,51.8,469,201,319,727,493,209,339,745,481,209,320,730,497,203,328,718,515,193,317,772,491,203,325,738,55,863,201,1
14,Cumhuriyet University,Public,XL,1974,45,24.1,202,162,443,567,230,171,448,618,222,166,451,611,226,165,450,619,240,155,464,652,224,164,451,613,30,136,159,2
15,December 7 University of Kilis,Public,M,2007,12,1.1,10,16,78,127,9,17,80,136,9,16,74,134,14,18,93,132,16,21,115,130,12,18,88,132,17,34,18,0
16,Dokuz Eylül University,Public,XL,1982,37,113,653,393,587,970,697,393,596,936,696,356,605,879,758,314,583,890,745,333,566,989,710,358,587,933,42,548,366,27
17,Düzce University,Public,XL,2006,13,12.6,76,78,256,322,84,89,295,363,77,79,313,360,94,94,328,365,97,103,346,385,86,89,308,359,29,135,79,0
18,Ege University,Public,XL,1955,64,177,891,352,442,982,907,361,437,935,921,394,393,857,921,382,373,889,924,373,379,928,913,372,405,918,45,895,484,18
19,Erciyes University,Public,XL,1978,41,67.9,381,290,419,841,394,307,432,879,394,261,380,808,423,251,420,797,424,246,401,900,403,271,410,845,44,432,333,16
20,Fırat University,Public,XL,1975,44,35.6,324,201,353,610,356,196,374,576,352,189,358,643,373,169,391,670,389,157,412,715,359,182,378,643,37,222,156,1
21,Gazi University,Public,XL,1982,37,77.4,949,534,560,1281,924,524,552,1258,906,491,456,1189,992,478,399,1218,877,333,227,1032,930,472,439,1196,46,686,426,2
22,Gaziantep University,Public,XL,1987,32,18.5,178,144,330,537,192,142,370,535,169,107,335,511,170,105,336,521,184,126,354,621,179,125,345,545,60,193,148,8
23,Gaziosman Paşa University,Public,L,1992,27,17.2,86,83,316,375,88,99,345,389,85,91,339,393,92,105,335,419,105,111,333,457,91,98,334,407,54,598,71,0
24,Gebze Technical University,Public,M,1992,27,79.6,74,64,56,243,85,57,71,237,86,55,76,215,92,59,90,241,104,59,103,257,88,59,79,239,30,532,42,16
25,Hacettepe University,Public,XL,1967,52,172.4,861,409,443,1361,868,410,454,1403,856,367,470,1363,858,352,521,1324,900,368,538,1466,869,381,485,1383,72,1.198,399,0
26,Hitit University,Public,L,2006,13,2.5,46,33,146,176,47,44,171,210,42,46,187,200,50,60,228,202,65,62,228,226,50,49,192,203,25,56,31,0
27,Inönü University,Public,XL,1975,44,26.2,225,185,321,517,242,204,349,590,242,184,316,568,267,174,340,552,282,181,344,621,252,186,334,570,27,252,181,0
28,Istanbul Medipol University,Private,L,2009,10,43.5,80,69,203,143,97,77,301,158,124,79,342,178,140,75,328,197,166,103,360,235,121,81,307,182,24,101,72,23
29,Istanbul Technical University,Public,XL,1944,75,245.2,504,259,363,703,503,265,364,663,496,270,344,562,518,274,343,638,518,259,333,692,508,265,349,652,64,1.818,156,119
30,Istanbul University,Public,XL,1933,86,95.9,1500,547,881,1733,1511,573,926,1935,1479,538,898,1834,1575,531,945,1734,908,389,582,1092,1395,516,846,1666,63,760,513,428
31,İzmir Institute of Technology,Public,S,1992,27,91.7,62,45,79,226,60,53,79,221,62,52,77,189,73,55,64,183,79,58,54,208,67,53,71,205,53,952,43,3
32,Izmir University of Economics,Private,L,2001,18,6.5,35,40,94,72,47,48,98,57,41,46,93,60,47,51,91,70,59,53,96,69,46,48,94,66,26,65,47,0
33,Karabük University,Public,XL,2007,12,6.6,70,77,285,252,80,80,323,271,76,70,318,263,86,67,328,271,98,93,324,260,82,77,316,263,24,92,67,1
34,Karadeniz Technical University,Public,XL,1955,64,64.8,335,277,405,1005,377,264,465,1042,377,251,465,960,413,220,480,1010,407,152,377,959,382,233,438,995,41,490,154,1
35,Koç University,Private,M,1992,27,132.6,111,89,105,50,123,93,103,52,132,91,106,30,143,87,114,24,190,81,119,21,140,88,109,35,42,599,63,125
36,Kocaeli University,Public,XL,1992,27,39.8,237,191,487,683,249,195,502,689,236,200,470,627,232,206,492,647,261,204,480,635,243,199,486,656,33,361,112,6
37,Marmara University,Public,XL,1982,37,45.7,609,360,677,1053,635,365,682,1112,652,336,673,994,678,357,682,1000,677,360,647,1144,650,356,672,1061,60,875,537,2
38,Mersin University,Public,XL,1992,27,21.1,220,149,305,447,245,154,301,484,262,158,317,490,275,150,340,492,278,143,345,525,256,151,322,488,51,666,169,0
39,Middle East Technical University,Public,L,1956,63,363.6,382,179,299,793,390,197,280,799,379,204,271,718,389,190,286,670,393,192,258,595,387,192,279,715,65,1.873,209,8
40,Ondokuz Mayis University,Public,XL,1975,44,32.6,378,244,439,855,388,273,410,907,387,258,360,830,398,283,353,911,430,274,338,913,396,266,380,883,30,271,229,3
41,Ozyegin University,Private,M,2007,12,34.4,21,19,107,28,25,23,122,32,27,26,138,28,26,24,130,42,28,23,151,36,25,23,130,33,51,503,30,81
42,Pamukkale University,Public,XL,1992,37,23.6,233,223,399,663,237,241,403,664,237,192,349,651,292,209,412,647,317,217,440,691,263,216,401,663,40,221,151,0
43,Sabancı University,Private,S,1996,27,143.5,48,68,51,18,56,62,45,17,56,65,50,12,66,53,76,15,68,55,78,12,59,61,60,15,30,547,46,90
44,Sakarya University,Public,XL,1992,23,23.6,231,205,536,557,245,222,539,570,239,214,517,559,262,206,540,560,235,176,420,516,242,205,510,552,34,229,217,0
45,Selcuk University,Public,XL,1975,27,55.4,339,239,500,893,361,239,468,923,384,243,472,833,476,265,491,834,457,217,412,802,403,241,469,857,41,423,281,0
46,Suleyman Demirel University,Public,XL,1992,44,61.5,252,223,499,629,288,251,470,746,291,209,474,664,322,187,524,694,260,160,420,688,283,206,477,684,32,396,179,0
47,TOBB University of Economics and Technology,Private,S,2003,27,42.4,43,47,88,16,49,50,84,19,75,49,82,17,80,50,85,15,87,53,79,20,67,50,84,17,60,206,34,29
48,Uludağ University,Public,XL,1975,16,40.5,464,274,277,892,496,295,277,871,496,284,294,814,504,281,296,790,529,280,306,835,498,283,290,840,36,290,317,11
49,Yeditepe University,Private,L,1996,44,32.1,166,107,282,31,174,129,258,23,171,109,231,34,175,103,232,47,180,102,245,67,173,110,250,40,23,169,107,112
50,Yıldız Technical University,Public,XL,1982,23,77.3,258,241,409,540,270,253,384,526,256,235,369,470,270,233,371,469,281,240,368,440,267,240,380,489,55,859,179,18
